0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	
31	3	3	3	4	4	4	5	6	6	7	7	7	8	9	9	10	10	10	10	11	12	12	12	13	14	14	14	15	15	16	17	17	17	17	17	18	19	20	20	20	21	21	21	22	22	22	23	24	24	24	
32	3	3	3	4	4	5	5	6	6	7	7	8	8	9	10	10	10	10	11	12	12	12	13	14	14	14	15	15	16	17	17	17	17	18	18	19	20	20	20	21	21	21	22	22	23	24	24	24	24	25	
33	3	3	3	4	4	5	5	6	6	7	7	8	9	9	10	10	10	11	12	12	12	12	13	14	14	15	15	16	16	17	17	17	17	18	19	20	20	20	21	21	21	22	22	23	24	24	24	24	25	26	
34	3	3	4	4	4	5	5	6	7	7	7	8	9	9	10	10	10	11	12	12	12	13	14	14	15	15	15	16	17	17	17	18	18	20	20	20	20	21	21	22	22	22	23	24	24	24	25	26	26	27	
35	3	3	4	4	4	5	5	6	7	7	7	9	9	10	10	10	11	12	12	12	12	14	14	15	15	15	16	17	17	17	17	18	19	20	20	20	21	21	22	22	22	23	24	24	24	25	26	27	27	27	
36	3	4	4	4	4	5	6	6	7	7	8	9	9	10	10	11	12	12	12	12	13	14	15	15	15	16	16	17	17	18	18	19	20	20	20	21	21	22	22	23	24	24	24	24	26	26	27	27	27	28	
37	3	4	4	4	5	5	6	7	7	7	8	9	10	10	10	11	12	12	12	13	13	14	15	15	16	16	17	17	17	18	19	20	20	20	21	21	22	22	23	24	24	24	24	26	26	27	27	28	28	28	
38	3	4	4	4	5	5	6	7	7	8	8	9	10	10	11	12	12	12	13	13	14	15	15	16	16	17	17	17	18	19	20	20	20	21	21	22	22	23	24	24	24	24	26	27	27	27	28	28	28	30	
39	3	4	4	4	5	5	6	7	7	8	9	9	10	10	11	12	12	12	13	14	14	15	15	16	16	17	17	18	19	19	20	20	21	21	22	22	23	24	24	24	24	26	27	27	27	28	28	28	30	30	
40	4	4	4	5	5	6	6	7	7	8	9	10	10	10	11	12	12	13	13	14	15	15	16	16	17	17	17	18	19	20	20	21	21	22	22	23	24	24	24	24	26	27	27	27	28	28	29	30	30	31	
41	4	4	4	5	5	6	6	7	7	8	9	10	10	11	12	12	12	13	13	14	15	15	16	17	17	17	18	19	20	20	21	21	21	22	22	24	24	24	24	26	27	27	27	28	28	29	30	30	31	31	
42	4	4	4	5	5	6	6	7	8	9	9	10	10	11	12	12	13	13	14	15	15	16	17	17	17	18	19	20	20	21	21	21	22	22	23	24	24	24	26	27	27	27	28	28	30	30	30	31	31	31	
43	4	4	4	5	5	6	7	7	8	9	9	10	10	12	12	12	13	14	14	15	15	16	17	17	17	18	19	20	20	21	21	22	22	23	24	24	24	26	27	27	27	28	28	30	30	30	31	31	31	32	
44	4	4	4	5	5	6	7	8	8	9	10	10	11	12	12	13	13	14	15	15	16	17	17	17	18	19	20	20	21	21	22	22	23	24	24	24	26	27	27	27	28	28	30	30	31	31	31	32	32	34	
45	4	4	5	5	5	6	7	8	8	9	10	10	11	12	12	13	13	14	15	16	16	17	17	18	19	19	20	20	21	22	22	23	24	24	24	26	26	27	27	28	28	30	30	31	31	31	31	32	34	35	
46	4	4	5	5	6	6	7	8	8	9	10	10	12	12	13	13	14	15	15	16	16	17	17	19	19	20	20	21	21	22	22	24	24	24	25	26	27	27	28	28	29	30	30	31	31	32	32	34	35	35	
47	4	4	5	5	6	6	7	8	9	10	10	11	12	12	13	13	14	15	16	16	17	17	17	19	20	20	20	21	22	22	23	24	24	25	26	27	27	28	28	29	30	30	31	31	31	32	34	35	35	35	
48	4	5	5	5	6	7	7	8	9	10	10	11	12	13	13	14	14	15	16	16	17	17	19	19	20	20	21	22	22	23	24	24	24	26	27	27	28	28	28	30	30	31	31	32	32	34	35	35	35	36	
49	4	5	5	5	6	7	7	8	9	10	10	11	12	13	13	14	15	16	16	17	17	18	19	20	20	21	21	22	22	24	24	24	25	26	27	27	28	28	30	30	31	31	31	32	34	35	35	35	36	36	
50	4	5	5	6	6	7	8	9	9	10	10	12	12	13	14	14	15	16	16	17	17	19	19	20	20	21	22	22	24	24	24	25	26	27	27	28	28	30	30	31	31	31	32	34	35	35	35	36	36	38	
